Owner First ,Customer Number,Last Mane,Number,Street Name,Unit,City,Postal Code,Province,Owner Phone,Alternate Phone,Pet Species,Last Renewal date,Pet Name,Pet Breed,Pet Colour,Pet Sex,Pet is fixed,Tag #,Owner Email,Expiry year,Sold By,Tag Status,Rabies Expiry,Pet Status
Cailin,7423,Orr,17,Real St,,b,J2V 0Y5,,920-3030,,Cat,04-15-82,Eagan,Poodle,Tan,M,S,4685,Donec@arcu.ca,02-20-2003,Rae,,07.27.05,R
Dorothy,4051,Snyder,140,Real St,,sity A,R3V 6E0,,1-164-632-6708,1-19-652-1807,Dog,11-11-98,Olivia,Poodle,Black,F,Spayed,4009,non.sapien@ultriciesligula.edu,10-15-2018,Lynn,,02.11.00,A
McKenzie,7821,Reilly,63,Brampton Street,,sity A,S9L 2J1,,(626) 353-6808,687-9769,c,2003-12-04,Dominic,Poodle,Color,F,Neutered,5365,pharetra.Quisque@sitamet.org,12-12-2017,Josiah,Canceled,05.15.96,A
Zane,8552,Daniels,89,Brampton Street,V,City b,R3L 7P6,,(117) 560-0334,694-0967,CAT,2004-04-13,Colette,Shih tzu,No,Spayed,Y,9931,amet@vitaesemperegestas.com,06-03-2017,Marsden,,03.28.00,A
Wing,6539,Faulkner,123,Brampton Street,,City A,B4K 6K9,,1-177-597-8702,1-111-358-9871,Yes,07-22-86,Adrian,Maltese,Blue,F,Intact,3274,enim@liberoestcongue.net,07-29-2003,Emerald,,11.26.94,Active
Kevin,3589,Lester,117,Brampton Street,,city,N3B 3A8,CA,1-241-111-0917,1-641-594-7418,dog,07-10-87,Kibo,Maltese,White,M,Intact,8671,elit.pellentesque.a@Sed.ca,03-03-2007,Francesca,,01.20.98,A
Sean,3377,Joyce,166,Fance Place,,a,X1P 7G6,,1-512-344-4421,201-5318,Cat,2004-09-04,Chaney,Maltese,Mix,M,N,9002,nisi@placerat.net,04-26-2004,Zahir,,11.21.97,Expired
Devin,6072,Barry,129,Real St,05-Jan,cit b,K7C 3T4,Ontario,1-447-883-1477,1-843-144-4366,Dog,06-06-92,Zena,Maltese,Tri,No,Intact,2360,lectus.ante.dictum@cursuspurusNullam.edu,08-08-2002,Colby,Canceled,05.05.16,A
Emma,9516,Black,87,Fance Place,,B,M3S 6T9,CA,768-2827,,Cat,2007-09-13,Hasad,Yorkie,Tan,M,Yes,3205,eu.turpis@variusultrices.net,10-23-2010,Quinn,Canceled,02.13.98,A
Risa,8162,Black,191,Fance Place,05-Jan,CITY B,R6R 4K5,ONTARIO,220-5561,1-274-750-9926,DOG,01-31-17,Patience,Yorkie,Cat,Fem,Intact,7110,non@est.edu,01-27-2003,Raja,D,12.04.00,Expired
Elijah,9206,Ratliff,16,Fance Place,,city,M7H 4M1,ON,1-483-697-9383,1-973-935-8551,DOG,09-27-80,Gareth,Shih tzu,Purple,Spayed,Neuter,6356,non@sociisnatoque.net,07-29-2006,Keelie,,06.24.06,S
Erin,5155,Cervantes,176,Fance Place,,A,R1N 0L2,ON,1-430-927-3971,(690) 565-2919,D,10-21-10,Inez,Shih tzu,Orange,Female,No,5575,Sed.eu@augue.org,02-15-2012,Lani,,03.29.08,S
Cedric,7493,Alston,43,Brampton Street,,b,T1Y 6N5,,(647) 929-9805,1-536-582-9200,CAT,01-06-98,Caleb,Yorkie,Black/tan,Female,Y,2488,Nunc@hendreritneque.edu,09-22-2014,Jessamine,,06.02.16,Expired
Joan,2249,Kidd,11,Fance Place,A,B,Y1Z 0X2,,(815) 814-2916,,Dog,2004-08-06,Rashad,Yorkie,Color,M,Yes,2329,lectus.quis@ornareliberoat.org,12-08-2003,Keaton,,03.16.92,A
Fitzgerald,6639,Gonzales,82,Real St,A,CITY B,G7K 8X1,NB,(865) 754-2715,,Dog,07-10-85,Alice,Tabby,Purple,Male,No,2109,Phasellus.dapibus@Pellentesquehabitant.com,11-06-2017,Garrison,,05.02.99,A
Charity,9447,Hodges,70,Real St,,CITY B,X9V 5S4,ON,251-1722,(370) 878-61\31,Yes,09-05-98,Kelsie,Mix,White,M,Yes,3606,erat@sed.net,09-22-2008,Drew,,12.03.09,A
Malik,5105,Gray,153,Brampton Street,05-Jan,a,B2H 1P2,CA,806-3576,,CAT,09-26-10,Cameran,Mix,Tri,D,Y,6348,123-456-7890,02-02-2016,Martin,,10.13.99,Active
Lane,5382,Finch,44,Real St,,A,V7S 5C3,,366-4013,899-1489,D,02-18-17,Jasmine,Mix,Black,Rabies,Intact,4752,et.ultrices.posuere@mauris.com,05-14-2007,Larissa,,11.23.06,Removed
Lacy,7497,Mcbride,68,Real St,,A,P1K 8K3,CA,1-578-366-8990,,Dog,05-17-80,Hannah,German Shepherd,Blue,Dog,Intact,7925,Cras.interdum.Nunc@sapien.net,02-03-2015,Reagan,,02.15.04,A
Doris,7603,Hicks,34,Real St,,a,K6K 4W7,NB,1-187-856-5474,1-811-330-6088,CAT,2001-10-01,Peter,Terrier,Blue,Male,YEs,6762,non.leo.Vivamus@enimnonnisi.net,12-09-2013,Victoria,D,04.07.12,Moved
Meredith,4520,Glenn,9,Fance Place,,a,X9B 9J7,CA,155-0688,343-4365,CAT,03-05-84,MacKensie,Border,,Male,Intact,6584,nec.enim@Vestibulum.co.uk,08-21-2008,Alana,Canceled,06.07.11,A
Harlan,4494,Albert,75,Fance Place,,city,G0G 9N4,,(862) 934-4556,1-667-657-5733,d,05-24-13,Tobias,German Shepherd,Purple,N/A,S,4856,tincidunt.dui.augue@Phasellus.ca,07-18-2009,Tatum,,07.20.07,Expired
Matthew,7088,Garcia,32,Real St,,sity A,T4H 0T1,NB,(304) 777-3551,,DOG,12-21-14,Debra,German Shepherd,,M,Y,1827,eget.dictum.placerat@laciniamattis.com,06-14-2018,Dustin,,09.13.10,Active
Katell & Tanya,6986,Patton,174,Fance Place,,cit b,B3S 7H5,Ontario,134-9034,683-6194,C,02-20-86,Faith,Yorkie,Tan,M,Neuter,9997,ligula.Aenean@nequeNullam.com,01-25-2010,Kane,,01.23.15,Removed
Xander,9953,Zimmerman,94,Real St,,city,M0M 9K8,QC,(362) 370-4359,(873) 634-1089,DOG,03-31-17,Sebastian,Persian,Black/tan,Dog,No,3916,semper.auctor.Mauris@facilisis.ca,01-28-2012,Cody,Yes,03.27.93,A
Roth,7302,Cooke,164,Brampton Street,D,a,Y2P 2S0,ONTARIO,(984) 330-8272,1-993-615-9430,z,05-24-93,Preston,Persian,Tri,Mal,Yes,1143,Mauris.vestibulum@luctuslobortis.edu,12-04-2003,Drew,No,12.02.00,S
Roth,7302,Cooke,164,Brampton Street,D,a,Y2P 2S1,ONTARIO,(984) 330-8273,1-993-615-9431,Cat,01-29-95,Jada,Persian,Color,Mal,S,3196,Mauris.vestibulum@luctuslobortis.edu,06-20-2018,Todd,,10.11.92,Not Active
Roth,7302,Cooke,164,Brampton Street,D,a,Y2P 2S3,ONTARIO,(984) 330-8275,1-993-615-9433,Cat,05-25-06,Lars,Yorkie,Black/tan,Spayed,Spayed,4486,fringilla.purus.mauris@adipiscinglobortisrisus.org,05-10-2013,Garrison,D,05.09.16,S
Zoe,1659,Martin,67,Real St,,a,H0E 8N1,QC,189-8492,,CAT,07-01-82,Jessamine,Terrier,White,D,Y,1216,convallis@accumsan.edu,05-13-2005,Jacob,C,07.20.93,A
Armando,1842,Charles,68,Real St,B,a,P4G 8A1,,1-105-698-0091,(963) 922-6772,Dog,09-24-10,Jada,Terrier,Mix,Y,Y,1652,vehicula.risus.Nulla@elitpharetra.edu,01-20-2018,Guy,,05.27.95,Moved
Brody,8411,Dominguez,69,Fance Place,05-Jan,cit b,L4C 0V2,ONTARIO,1-927-740-5884,(119) 420-0066,Dog,03-03-85,Lev,Pom,Color,N,Yes,1167,feugiat.nec.diam@temporbibendumDonec.com,01-20-2004,Judith,,11.08.98,Moved
Jolie,6808,Kirby,178,Real St,,sity A,M4A 9C5,ON,1-331-201-5698,,Dog,07-07-87,Randall,German Shepherd,Tan,F,Neutered,8902,pede@turpis.org,04-19-2018,Ina,,12.15.01,S
Echo,3695,Russo,79,Real St,C,CITY B,A6H 5M7,NB,1-339-337-8116,714-6292,Dog,03-17-03,Alexander,German Shepherd,Black/tan,F,Neuter,8291,mi.ac.mattis@lobortisClassaptent.co.uk,01-15-2015,Ian,,10.15.94,A
Roth,7302,Cooke,164,Brampton Street,D,a,Y2P 2S2,ONTARIO,(984) 330-8274,1-993-615-9432,DOG,01-31-86,Garrett,Yorkie,Tan,Mal,Intact,2020,,11-22-2010,Stella,,05.29.03,a
Jasper,5694,Bailey,170,Real St,,sity A,G1T 0H4,CA,(568) 725-0522,1-988-457-8702,Dog,02-23-86,Norman,German Shepherd,Tri,Mal,S,8812,ut@ornareegestasligula.org,03-04-2010,Bethany,,01.09.92,S
Breanna,2190,Pollard,154,Real St,05-Jan,CITY A,X4B 6H3,,966-4254,1-825-171-5653,d,09-22-18,Zephania,German Shepherd,Tri,Female,N,3937,orci@nuncid.edu,02-07-2009,Jasper,,12.26.00,A
Emery,9773,Britt,84,Real St,C,CITY A,R6R 4R1,QC,1-198-831-3498,,C,11-14-94,Gannon,Yes,Tri,Female,N,5367,ante.Maecenas.mi@nonante.org,11-22-2008,Burke,,02.06.14,A
Camille,7183,Hull,24,,B,b,T0M 9G4,,1-327-449-1081,,c,01-28-12,Peter,Cat,Tri,F,Spayed,7361,Nullam.vitae.diam@tempus.com,03-02-2008,Herman,,08.24.98,A
Deacon,4161,Kelly,106,Brampton Street,,cit b,V9V 6X0,QC,1-757-969-2270,(330) 132-1876,CAT,02-13-86,Rajah,Cat,Mix,N,No,3984,Morbi.metus.Vivamus@nunc.co.uk,11-06-2015,Nichole,,09.05.07,A
Hyacinth,6501,Fernandez,195,Real St,,city,T8C 8Z6,,1-858-811-4523,1-269-270-8587,c,12-22-04,Steven,Cat,Black/tan,M,Intact,6412,ornare.tortor.at@laoreetliberoet.net,02-09-2018,Rowan,,03.25.17,S
Bell,2745,Cruz,115,Real St,,A,B4W 4K8,,(329) 809-8785,(293) 990-0751,DOG,04-29-95,Aaron,POOGLE,Mix,M,Y,7984,nec.leo.Morbi@tellusnon.net,05-26-2003,Cleo,,08.14.14,Moved
Lars,8453,Knowles,38,Brampton Street,,CITY B,P0E 9B1,ON,1-727-120-1288,(128) 332-9052,c,11-19-14,Kristen,Cat,White,M,Yes,3956,massa.non.ante@convallisin.org,09-03-2017,Bernard,,05.01.99,A
Louis,7874,Sharp,39,Real St,,City A,P0E 8N7,CA,(624) 620-7334,,Dog,05-27-82,Jade,German Shepherd,Cream,M,N,1089,sapien.imperdiet@aliquam.edu,08-10-2014,Aubrey,,06.20.17,A
Isaac,7059,Ramsey,47,Fance Place,,b,T1B 3P9,,1-597-179-6334,354-5527,C,03-29-01,Bethany,German Shepherd,,M,Intact,6275,nulla.at.sem@malesuada.co.uk,03-04-2014,Ali,,12.14.00,A
Jennifer,3038,Foster,152,Real St,,city,B7V 9V6,NB,1-765-207-5926,1-496-555-3418,Cat,08-22-94,Preston,German Shepherd,Orange,M,No,3601,nulla.ante.iaculis@dolor.net,01-08-2017,Beck,,06.02.95,
Vivien,4684,Edwards,115,Real St,02-Jan,city,M2T 8M2,,(184) 238-7035,,CAT,11-08-80,Kirk,Aust Shepherd,Blue,F,Yes,9580,elit@Quisque.co.uk,09-10-2000,Malcolm,,11.19.98,Removed
Barry,1068,Macias,25,Fance Place,02-Jan,sity A,Y1V 8G0,,(932) 903-1383,,C,08-11-92,Carly,Aust Shepherd,,F,Yes,9609,volutpat.nunc.sit@eu.ca,06-08-2017,Shana,,07.17.06,A
Nathan,1765,Santiago,38,Brampton Street,,B,Y5B 8T4,,898-9049,,CAT,04-24-03,Aladdin,Spaniel,Tri,F,Intact,4395,nec.enim.Nunc@erat.co.uk,06-12-2019,Linda,Expired,11.05.04,Moved
Hilel,6742,Valenzuela,94,Fance Place,,a,R1X 4B5,,1-462-277-7921,(538) 216-9892,Dog,04-04-91,Florence,Spaniel,Black,Dog,S,7128,et.arcu.imperdiet@semPellentesque.org,07-18-2008,Nigel,,03.15.99,A
Jonas,6184,Delaney,102,Fance Place,B,B,Y1V 2K7,,340-3790,1-679-829-0628,d,03-28-99,Aphrodite,Spaniel,Cream,Female,Intact,3167,sed.tortor@tristiqueneque.net,01-01-2014,Fleur,,01.01.14,Moved
Matthew,4791,Sears,16,Brampton Street,A,B,P3E 6A9,,(183) 240-9264,511-3451,Dog,04-08-95,Shana,POOGLE,Blue,F,N,6639,molestie.tortor@ametmetus.com,12-17-2014,Macy,,12.08.18,Active
Gretchen,1421,Becker,90,Brampton Street,,a,B7B 3J2,Ontario,(592) 166-9686,,Cat,03-27-88,Jackson,Border,Tri,F,Neuter,3590,lacus.Mauris.non@sapiencursusin.com,11-20-2005,Stewart,,10.10.18,Moved
Zahir,5759,Mckenzie,139,Brampton Street,A,city,P5N 6B9,NB,392-3801,1-382-194-6709,c,10-11-00,Macey,Yorkie,Purple,F,Neutered,5093,mattis.Integer@Suspendissealiquetmolestie.ca,06-08-2014,Maris,,05.15.12,A
Jenna,7432,Emerson,131,Real St,,sity A,T0R 7N3,,1-968-555-9667,(694) 222-0412,c,10-21-06,Uriel,Yorkie,Purple,F,N,2441,nec@Suspendisse.edu,04-27-2019,Ashely,,09.02.07,A
Chelsea,1189,Harper,21,Real St,,sity A,J0X 6J1,,(580) 573-0252,,DOG,03-10-82,Rajah,Pom,Cat,Female,Intact,7665,sed.est@magnaa.com,12-18-2013,Hedda,,09.19.05,A
Sasha,9043,Puckett,102,Brampton Street,A,B,X1V 5C7,ON,(517) 711-0047,,c,2005-06-12,Kadeem,Aust Shepherd,,Girl,Spayed,4798,non.enim@vulputateeuodio.org,03-28-2014,Lara,,04.01.02,
Sage,5992,Peters,108,Real St,,CITY B,P2E 8V6,,1-816-805-6336,,Yes,2010-07-16,Rina,Cat,Purple,D,Y,1526,Nullam.suscipit.est@vulputateveliteu.ca,01-15-2001,Burke,,02.23.01,Active
Shelley,4649,Bryant,188,Real St,,cite b,R8J 7E0,,(114) 382-9599,,d,01-03-86,Warren,Terrier,Purple,Y,Spayed,2086,nec.ante@montesnasceturridiculus.net,10-18-2013,Amaya,Sold,11.12.09,A
"Christopher ""Chris""",3210,Kline,144,Fance Place,,City A,N7E 0T9,,416-9120,726-4020,C,05-12-98,Quin,Terrier,Color,M,N,7070,Ut.tincidunt@loremvitaeodio.co.uk,08-24-2008,Renee,,06.09.06,Active
Sierra,2939,Waters,176,Fance Place,,City b,B9H 1X8,NB,(849) 198-7594,,d,10-26-18,Daquan,Mix,No,M,Yes,4768,Aliquam@dapibus.org,04-17-2016,Hayes,,07.27.92,Expired
Maggy,8093,Wells,187,Fance Place,,B,Y8V 6N8,ONTARIO,1-650-391-2595,,c,10-20-99,Nigel,Mix,Cream,M,S,2558,vitae@semconsequatnec.org,06-14-2010,Tyrone,,06.10.17,Removed
Ferris,9676,Albert,170,Brampton Street,02-Jan,City b,P8K 5G5,,(284) 492-1513,,Dog,12-06-00,Fallon,Mix,Mix,Dog,Intact,7559,In@nisiMaurisnulla.com,07-08-2013,Hoyt,,11.14.15,A
Ebony,3175,Good,178,Fance Place,A,a,J6B 9H8,,518-0357,1-277-206-1745,D,12-29-02,Diana,Tabby,Orange,Rabies,Neuter,3083,vitae@Lorem.edu,03-05-2018,Paul,Canceled,04.19.08,Active
Fletcher,2710,Cameron,126,Brampton Street,B,CITY A,J6A 0R4,Ontario,(153) 623-1929,,Dog,08-30-84,Marvin,German Shepherd,White,Mal,Y,3676,tincidunt.aliquam@purus.ca,06-30-2017,Jena,,08.11.17,A
Eve,3760,George,168,Real St,,city,T2C 4M4,,(430) 514-9128,1-210-956-0377,Yes,11-25-88,Martha,German Shepherd,,F,S,1388,enim.non.nisi@dictum.edu,11-10-2008,Axel,,11.05.12,Removed
Kiayada,7688,Caldwell,24,Brampton Street,A,A,R3N 8H1,Ontario,(731) 458-7391,,Dog,06-24-02,Darius,German Shepherd,White,N,Spayed,8416,habitant@erat.edu,09-20-2006,MacKensie,,05.15.16,Expired
Steven,1257,Gonzales,108,Brampton Street,,City a,G9N 8Z2,Ontario,1-914-773-9453,,no,09-10-94,Kirsten,Persian,White,Rabies,Neuter,5589,eu@dictumaugue.edu,09-04-2002,Donovan,,03.20.98,Active
Abel,3578,Lara,94,Fance Place,,CITY B,E8A 0C8,,604-6024,1-253-480-5400,Cat,04-07-90,Donna,Persian,Tri,Fem,Neutered,7163,ullamcorper.eu@dolor.ca,12-22-2018,Owen,,03.08.17,Expired
Debra,4301,Miles,22,Real St,02-Jan,City b,R3H 2Y3,,1-910-464-6563,(123) 563-9388,DOG,10-25-83,Shaeleigh,Persian,White,M,No,3096,nisi.magna@magna.com,06-23-2010,Donovan,,02.01.05,A
Mollie,4297,Valenzuela,148,Real St,A,B,R3E 9Z4,Ontario,(730) 193-6848,,CAT,05-27-11,Ariel,Terrier,Tri,N/A,Y,9152,lacinia@Vivamus.com,02-06-2019,Hunter,,04.17.10,A
Quemby,7248,Gill,162,Real St,,CITY A,K5X 5C7,Ontario,164-6312,701-6110,C,05-04-98,Kitra,Terrier,Mix,Spayed,No,6624,Cum.sociis.natoque@inaliquet.co.uk,01-28-2012,Aimee,,08.24.05,A
Quemby,7248,Gill,162,Real St,,CITY A,K5X 5C8,Ontario,164-6312,701-6110,CAT,03-10-95,Kalia,Terrier,Black,D,Y,6460,Cum.sociis.natoque@inaliquet.co.uk,07-03-2004,Bree,,07.12.93,A
Delilah,3182,Erickson,119,Fance Place,,cit b,T0P 1V4,,1-883-136-3158,,Dog,11-17-13,Nelle,Border,Black,Rabies,N,5254,ipsum.ac.mi@quamvel.net,10-23-2016,Delilah,,07.06.11,A
Sasha,9043,Puckett,102,Brampton Street,A,B,X1V 5C7,ON,(517) 711-0047,,Cat,12-08-94,Hunter,Yorkie,Orange,Rabies,S,1405,erat.Vivamus.nisi@velvenenatis.net,06-01-2008,Valentine,,12.05.93,Active
Clark,1359,Trevino,127,Brampton Street,A,sity A,R3N 8S4,Ontario,(213) 188-5826,,Dog,08-02-98,Jacqueline,Yorkie,No,Y,Neutered,4811,mus.Donec.dignissim@Suspendisse.edu,05-14-2013,Cecilia,,06.27.92,Expired
Nigel,6703,Hoover,148,Brampton Street,,cite b,H9E 0X3,,1-858-347-2497,,dg,02-28-07,Fletcher,Yorkie,Tri,Dog,Felp,8330,diam.dictum.sapien@disparturientmontes.edu,12-05-2018,Portia,,10.13.04,A
Shellie,3921,Kirby,70,Brampton Street,,CITY A,P6X 8W4,ON,(205) 418-5010,(117) 290-3044,c,07-24-90,Rebecca,Yorkie,Tan,Fem,Spayed,2572,iaculis.enim@Praesenteudui.co.uk,07-09-2016,Edward,Sold,11.01.11,Removed
Stuart,1663,Nash,135,Fance Place,,sity A,X7T 1M4,,(869) 439-6770,709-5411,CAT,04-28-82,Hilda,Cat,Cream,N,Intact,9882,Etiam@Pellentesquehabitant.co.uk,03-03-2011,Rylee,,09.27.93,Active
Quemby,7248,Gill,162,Real St,,CITY A,X0H 3J5,Ontario,164-6312,701-6110,D,03-04-82,Scarlet,Poodle,Mix,M,Yes,7014,massa@lobortis.net,11-02-2001,Buckminster,,04.27.08,A
Chancellor,2085,Colon,140,Real St,,City A,B7P 7S3,,212-0268,(993) 887-5714,Cat,07-22-07,Ayanna,Poodle,Mix,M,Intact,9014,est.arcu@Integerin.edu,10-16-2014,Iona,,09.14.17,A
Wayne,4403,Martin,190,Real St,,a,B6J 9M9,NB,(134) 956-9256,(908) 149-9000,Dog,01-28-06,Virginia,Maltese,,M,Intact,2104,,09-22-2002,Kieran,,06.01.10,Removed
Kareem,2501,Ferrell,132,Brampton Street,,City A,S4N 3E3,,250-5821,,,09-05-97,Summer,Maltese,Blue,Rabies,N,4404,Nam.consequat.dolor@ipsumdolorsit.co.uk,04-16-2015,Donna,,09.07.01,Moved
Armand,7525,Langley,74,Brampton Street,C,b,L4P 3W1,Ontario,(572) 135-8520,,no,11-04-98,Dexter,Maltese,Purple,M,N,9725,nibh.sit@malesuadavelconvallis.ca,08-27-2002,Perry,,11.27.05,Active
Jonas,5173,Malone,77,Real St,,sity A,R7H 7G8,QC,1-328-864-0577,(946) 115-5902,Cat,12-09-95,Barry,Maltese,,Male,Neutered,1265,eu.neque.pellentesque@nonmassanon.edu,11-17-2007,Justine,,09.05.99,Active
Eagan,3837,Holloway,33,,,CITY A,N2G 2L3,,(128) 314-0737,(707) 298-9116,DOG,12-11-94,Nathan,Malamute,Black/tan,F,Neutered,1194,dui@urnaNunc.org,12-04-2015,Christian,,06.09.18,A
Chaim,5760,Schmidt,116,Real St,02-Jan,city,R9R 1B5,,1-458-536-4050,Sometimes call my vet at 1234567890,Dog,08-02-92,Sara,POOGLE,,F,Yes,2042,scelerisque@ametorciUt.com,08-06-2018,Basil,,02.01.95,Removed
