,First_Name,Customer_Number,Last_Name,Street_Number,Street_Name,Unit,City,Postal_Code,Province,Owner_Phone,Alternate_Phone,Pet_Species,Last_Renewal_date,Pet_Name,Pet_Breed,Pet_Colour,Pet_Sex,Pet_is_fixed,Tag_#,Owner_Email,Expiry_year,Sold_By,Tag_Status,Rabies_Expiry,Pet_Status
135,Harlan,4494,Albert,75,Fance Place,,,G0G 9N4,QC,8629344556,16676575733,DOG,2013-05-24,Tobias,German Shepherd,PURPLE,,YES,4856,tincidunt.dui.augue@Phasellus.ca,2009-07-18,Tatum,,2007-07-20,REMOVED
139,Roth,7302,Cooke,164,Brampton Street,D,A,Y2P 2S0,,9843308272,19936159430,,1993-05-24,Preston,Persian,TRI,M,YES,1143,Mauris.vestibulum@luctuslobortis.edu,2003-12-04,Drew,No,2000-12-02,
140,Roth,7302,Cooke,164,Brampton Street,D,A,Y2P 2S1,,9843308273,19936159431,CAT,1995-01-29,Jada,Persian,,M,YES,3196,Mauris.vestibulum@luctuslobortis.edu,2018-06-20,Todd,,1992-10-11,
141,Roth,7302,Cooke,164,Brampton Street,D,A,Y2P 2S3,,9843308275,19936159433,CAT,2006-05-25,Lars,Yorkie,BLACK/TAN,,YES,4486,fringilla.purus.mauris@adipiscinglobortisrisus.org,2013-05-10,Garrison,D,2016-05-09,
143,Armando,1842,Charles,68,Real St,B,A,P4G 8A1,,11056980091,9639226772,DOG,2010-09-24,Jada,Terrier,MIX,,YES,1652,vehicula.risus.Nulla@elitpharetra.edu,2018-01-20,Guy,,1995-05-27,REMOVED
144,Brody,8411,Dominguez,69,Fance Place,05-Jan,B,L4C 0V2,ON,19277405884,1194200066,DOG,1985-03-03,Lev,Pom,,,YES,1167,feugiat.nec.diam@temporbibendumDonec.com,2004-01-20,Judith,,1998-11-08,REMOVED
147,Roth,7302,Cooke,164,Brampton Street,D,A,Y2P 2S2,,9843308274,19936159432,DOG,1986-01-31,Garrett,Yorkie,TAN,M,NO,2020,,2010-11-22,Stella,,2003-05-29,ACTIVE
149,Breanna,2190,Pollard,154,Real St,05-Jan,A,X4B 6H3,,9664254,18251715653,DOG,2018-09-22,Zephania,German Shepherd,TRI,F,NO,3937,orci@nuncid.edu,2009-02-07,Jasper,,2000-12-26,ACTIVE
151,Camille,7183,Hull,24,,B,B,T0M 9G4,AB,13274491081,,CAT,2012-01-28,Peter,Cat,TRI,F,YES,7361,Nullam.vitae.diam@tempus.com,2008-03-02,Herman,,1998-08-24,ACTIVE
153,Hyacinth,6501,Fernandez,195,Real St,,,T8C 8Z6,AB,18588114523,12692708587,CAT,2004-12-22,Steven,Cat,BLACK/TAN,M,NO,6412,ornare.tortor.at@laoreetliberoet.net,2018-02-09,Rowan,,2017-03-25,
154,Bell,2745,Cruz,115,Real St,,A,B4W 4K8,,3298098785,2939900751,DOG,1995-04-29,Aaron,POOGLE,MIX,M,YES,7984,nec.leo.Morbi@tellusnon.net,2003-05-26,Cleo,,2014-08-14,REMOVED
157,Isaac,7059,Ramsey,47,Fance Place,,B,T1B 3P9,AB,15971796334,3545527,CAT,2001-03-29,Bethany,German Shepherd,,M,NO,6275,nulla.at.sem@malesuada.co.uk,2014-03-04,Ali,,2000-12-14,ACTIVE
159,Vivien,4684,Edwards,115,Real St,02-Jan,,M2T 8M2,,1842387035,,CAT,1980-11-08,Kirk,Aust Shepherd,BLUE,F,YES,9580,elit@Quisque.co.uk,2000-09-10,Malcolm,,1998-11-19,REMOVED
160,Barry,1068,Macias,25,Fance Place,02-Jan,A,Y1V 8G0,,9329031383,,CAT,1992-08-11,Carly,Aust Shepherd,,F,YES,9609,volutpat.nunc.sit@eu.ca,2017-06-08,Shana,,2006-07-17,ACTIVE
161,Nathan,1765,Santiago,38,Brampton Street,,B,Y5B 8T4,,8989049,,CAT,2003-04-24,Aladdin,Spaniel,TRI,F,NO,4395,nec.enim.Nunc@erat.co.uk,2019-06-12,Linda,Expired,2004-11-05,REMOVED
162,Hilel,6742,Valenzuela,94,Fance Place,,A,R1X 4B5,,14622777921,5382169892,DOG,1991-04-04,Florence,Spaniel,BLACK,,YES,7128,et.arcu.imperdiet@semPellentesque.org,2008-07-18,Nigel,,1999-03-15,ACTIVE
163,Jonas,6184,Delaney,102,Fance Place,B,B,Y1V 2K7,,3403790,16798290628,DOG,1999-03-28,Aphrodite,Spaniel,CREAM,F,NO,3167,sed.tortor@tristiqueneque.net,2014-01-01,Fleur,,2014-01-01,REMOVED
165,Gretchen,1421,Becker,90,Brampton Street,,A,B7B 3J2,,5921669686,,CAT,1988-03-27,Jackson,Border,TRI,F,YES,3590,lacus.Mauris.non@sapiencursusin.com,2005-11-20,Stewart,,2018-10-10,REMOVED
167,Jenna,7432,Emerson,131,Real St,,A,T0R 7N3,,19685559667,6942220412,CAT,2006-10-21,Uriel,Yorkie,PURPLE,F,NO,2441,nec@Suspendisse.edu,2019-04-27,Ashely,,2007-09-02,ACTIVE
168,Chelsea,1189,Harper,21,Real St,,A,J0X 6J1,QC,5805730252,,DOG,1982-03-10,Rajah,Pom,,F,NO,7665,sed.est@magnaa.com,2013-12-18,Hedda,,2005-09-19,ACTIVE
170,Sage,5992,Peters,108,Real St,,B,P2E 8V6,,18168056336,,,2010-07-16,Rina,Cat,PURPLE,,YES,1526,Nullam.suscipit.est@vulputateveliteu.ca,2001-01-15,Burke,,2001-02-23,ACTIVE
171,Shelley,4649,Bryant,188,Real St,,B,R8J 7E0,,1143829599,,DOG,1986-01-03,Warren,Terrier,PURPLE,,YES,2086,nec.ante@montesnasceturridiculus.net,2013-10-18,Amaya,Sold,2009-11-12,ACTIVE
172,"Christopher ""Chris""",3210,Kline,144,Fance Place,,A,N7E 0T9,,4169120,7264020,CAT,1998-05-12,Quin,Terrier,,M,NO,7070,Ut.tincidunt@loremvitaeodio.co.uk,2008-08-24,Renee,,2006-06-09,ACTIVE
174,Maggy,8093,Wells,187,Fance Place,,B,Y8V 6N8,,16503912595,,CAT,1999-10-20,Nigel,Mix,CREAM,M,YES,2558,vitae@semconsequatnec.org,2010-06-14,Tyrone,,2017-06-10,REMOVED
175,Ferris,9676,Albert,170,Brampton Street,02-Jan,B,P8K 5G5,,2844921513,,DOG,2000-12-06,Fallon,Mix,MIX,,NO,7559,In@nisiMaurisnulla.com,2013-07-08,Hoyt,,2015-11-14,ACTIVE
176,Ebony,3175,Good,178,Fance Place,A,A,J6B 9H8,,5180357,12772061745,DOG,2002-12-29,Diana,Tabby,ORANGE,,YES,3083,vitae@Lorem.edu,2018-03-05,Paul,Canceled,2008-04-19,ACTIVE
178,Eve,3760,George,168,Real St,,,T2C 4M4,AB,4305149128,12109560377,,1988-11-25,Martha,German Shepherd,,F,YES,1388,enim.non.nisi@dictum.edu,2008-11-10,Axel,,2012-11-05,REMOVED
179,Kiayada,7688,Caldwell,24,Brampton Street,A,A,R3N 8H1,MB,7314587391,,DOG,2002-06-24,Darius,German Shepherd,WHITE,,YES,8416,habitant@erat.edu,2006-09-20,MacKensie,,2016-05-15,REMOVED
180,Steven,1257,Gonzales,108,Brampton Street,,A,G9N 8Z2,QC,19147739453,,,1994-09-10,Kirsten,Persian,WHITE,,YES,5589,eu@dictumaugue.edu,2002-09-04,Donovan,,1998-03-20,ACTIVE
183,Mollie,4297,Valenzuela,148,Real St,A,B,R3E 9Z4,MB,7301936848,,CAT,2011-05-27,Ariel,Terrier,TRI,,YES,9152,lacinia@Vivamus.com,2019-02-06,Hunter,,2010-04-17,ACTIVE
184,Quemby,7248,Gill,162,Real St,,A,K5X 5C7,,1646312,7016110,CAT,1998-05-04,Kitra,Terrier,MIX,,NO,6624,Cum.sociis.natoque@inaliquet.co.uk,2012-01-28,Aimee,,2005-08-24,ACTIVE
185,Quemby,7248,Gill,162,Real St,,A,K5X 5C8,,1646312,7016110,CAT,1995-03-10,Kalia,Terrier,BLACK,,YES,6460,Cum.sociis.natoque@inaliquet.co.uk,2004-07-03,Bree,,1993-07-12,ACTIVE
186,Delilah,3182,Erickson,119,Fance Place,,B,T0P 1V4,AB,18831363158,,DOG,2013-11-17,Nelle,Border,BLACK,,NO,5254,ipsum.ac.mi@quamvel.net,2016-10-23,Delilah,,2011-07-06,ACTIVE
188,Clark,1359,Trevino,127,Brampton Street,A,A,R3N 8S4,MB,2131885826,,DOG,1998-08-02,Jacqueline,Yorkie,,,YES,4811,mus.Donec.dignissim@Suspendisse.edu,2013-05-14,Cecilia,,1992-06-27,REMOVED
189,Nigel,6703,Hoover,148,Brampton Street,,B,H9E 0X3,QC,18583472497,,DOG,2007-02-28,Fletcher,Yorkie,TRI,,,8330,diam.dictum.sapien@disparturientmontes.edu,2018-12-05,Portia,,2004-10-13,ACTIVE
191,Stuart,1663,Nash,135,Fance Place,,A,X7T 1M4,,8694396770,7095411,CAT,1982-04-28,Hilda,Cat,CREAM,,NO,9882,Etiam@Pellentesquehabitant.co.uk,2011-03-03,Rylee,,1993-09-27,ACTIVE
192,Quemby,7248,Gill,162,Real St,,A,X0H 3J5,,1646312,7016110,DOG,1982-03-04,Scarlet,Poodle,MIX,M,YES,7014,massa@lobortis.net,2001-11-02,Buckminster,,2008-04-27,ACTIVE
193,Chancellor,2085,Colon,140,Real St,,A,B7P 7S3,,2120268,9938875714,CAT,2007-07-22,Ayanna,Poodle,MIX,M,NO,9014,est.arcu@Integerin.edu,2014-10-16,Iona,,2017-09-14,ACTIVE
195,Kareem,2501,Ferrell,132,Brampton Street,,A,S4N 3E3,SK,2505821,,,1997-09-05,Summer,Maltese,BLUE,,NO,4404,Nam.consequat.dolor@ipsumdolorsit.co.uk,2015-04-16,Donna,,2001-09-07,REMOVED
196,Armand,7525,Langley,74,Brampton Street,C,B,L4P 3W1,ON,5721358520,,,1998-11-04,Dexter,Maltese,PURPLE,M,NO,9725,nibh.sit@malesuadavelconvallis.ca,2002-08-27,Perry,,2005-11-27,ACTIVE
198,Eagan,3837,Holloway,33,,,A,N2G 2L3,ON,1283140737,7072989116,DOG,1994-12-11,Nathan,Malamute,BLACK/TAN,F,YES,1194,dui@urnaNunc.org,2015-12-04,Christian,,2018-06-09,ACTIVE
199,Chaim,5760,Schmidt,116,Real St,02-Jan,,R9R 1B5,,14585364050,1234567890,DOG,1992-08-02,Sara,POOGLE,,F,YES,2042,scelerisque@ametorciUt.com,2018-08-06,Basil,,1995-02-01,REMOVED
